sample_id,Necropsied_by,Sample_condition,Death_year,Death_month,Death_day,Death_date,Submitters_name,Address,Location,UTM_zone,UTM_easting,UTM_northing,Location precision,Animal_detailsSpecies,Sex,Age Class (estimate),Age Class (actual),Age,CC,Age Range,Aging Notes,Nutritional_condition,External_observations,Weight_kg,Total_length_mm,Length_of_tail_mm,Length_of_hindfoot_mm,Height_of_ear_notch_mm,Chest_girth_mm,Internal_observations,General_comments,Disposition_of_carcass,Necropsy_Form_Notes,Photo_Number,SI_Muscle(2),SI_Muscle(3),SI_Skin(4),SI_Skin(5),Hair_Top,Hair_Bottom,Nobuto(6),Skull(7),GI(8)_shipped_to_Nagorsen,GI(8)_frozen_prey_remains,GI(8)_dried_ETOHpreyremains,SI_Femur(9),SI_Femur(9)a,PM4(10)_shipped_to_Matson's,SI FemaleReprOrg,muscle_c13,muscle_n15,bone_c13,bone_n15,bothair_c13,bothair_n15,tophair_c13,tophair_n15,AREA,salmon,salmon_sd,coast,coast_sd
14-4885,R. Weir,Frozen,2013,12,30,30/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,M,Adult,Adult,3,B,3-4,BR,Excellent,,1.19,655,205,95,na,155,"Flesh very pale
very pale liver
enlarged gallbladder
heart encased in fat","MT photos: 964, 965, 966, 967",HG Landfill,26 S mainline,"P1000964, P1000965, P1000966, P1000967",MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.77136509,7.799817232,-23.35685008,6.67018471,-22.01433382,9.146703655,-23.68541036,8.674996736,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4886,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,,Good,,0.82,590,185,82,na,124,"lower end of ""good"" condition",,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-22.58377398,11.01375326,-21.20220463,8.103719856,-18.76235027,11.35294713,-18.86036062,11.97002285,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4887,R. Weir,Frozen,2013,12,9,09/12/2013,James Alton,QCC,Trapline TR0613T005,8,686076,5914254,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Good,,0.84,589,190,84,na,124,,,HG Landfill,15 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-20.7901845,11.88695496,-19.07516973,6.294443304,-19.62484139,10.7052154,-20.85291113,10.6458812,3141200,0.690613721,0.069607774,11331.64326,497.6244866
14-4888,R. Weir,Frozen,2013,12,8,08/12/2013,James Alton,QCC,Trapline TR0613T005,8,682647,5915466,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Excellent,,1.05,625,205,86,na,142,big single lobe liver,,HG Landfill,19 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.3639364,8.388214752,-20.67760419,7.523771165,-22.05157776,8.808498695,-20.57848213,9.700489556,600700,0.697293864,0.039996322,11080.40855,499.961158
14-4889,R. Weir,Frozen,2013,12,5,05/12/2013,James Alton,QCC,Trapline TR0613T005,8,687892,5912391,<1 km,M-MACA,M,Adult,Adult,1,B,1-2,BR,Excellent,,1.35,660,220,97,na,164,broken canine,,HG Landfill,12 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4&5_MOE,DB_4&5_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-21.43509263,11.8701436,-21.43331515,6.779435608,-22.61121688,9.108136423,-20.15703761,11.55765013,2845500,0.721880619,0.075044949,8960.314609,499.932582
14-4890,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,M,Adult,Adult,1,A,,BR,Excellent,tip of tail missing - nose-sacrum length: 430,1.14,,,92,na,143,"liver is pale
swollen gallbladder",,HG Landfill,22 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.77263958,9.985293734,-20.85553884,7.598306824,-22.28876282,7.71477154,-21.49977946,10.86047324,2914800,0.28441044,0.087164073,10619.16822,499.6571221
14-4891,R. Weir,Frozen,2013,na,na,na,James Alton,QCC,Trapline TR0613T009,8,679663,5918523,Trapline,M-MACA,F,Juvenile,Juvenile,0,A,,,Good,,0.77,580,180,81,na,124,"very young juvenile
repro tract not collected","MT photos: 968, 969",HG Landfill,"No info on bag

UTM is 24 S km on mainline (centre of 2 traplines (TR0613T009 and T005 - seems to be area trapped by James Alton, based on road km of carcasses)","P1000968, P1000969",MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,NC,-24.13037737,7.871018277,-20.62136048,7.096977937,-22.08196097,8.596873368,-22.91308877,7.340966057,3142000,0.158644956,0.014068008,9571.005325,499.6123116
14-4892,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T005,8,690363,5906991,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Good,,0.83,595,185,78,na,130,,,HG Landfill,5S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.99120267,8.292291123,-21.2789006,7.934227809,-22.54358974,8.650274151,-23.49723048,8.034187337,3105600,1.180420094,0.027282296,3022.018704,498.602609
14-4893,R. Weir,Frozen,2014,1,7,07/01/2014,James Alton,QCC,Trapline TR0613T005,8,684447,5914930,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Excellent,,0.93,580,182,84,na,140,Full stomach,,HG Landfill,"Jan 7 2014
17 S mainline",,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-28.121359,7.905629896,-20.79520468,8.049604926,-22.4240171,8.229001305,-23.33845371,8.778831593,1632800,0.734229197,0.111461389,12226.00329,406.4458321
14-4894,R. Weir,Frozen,2014,1,18,18/01/2014,James Alton,QCC,Trapline TR0613T005,8,690363,5906991,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Good,,0.67,585,190,83,na,120,"not in good shape
repro organs too small to collect",,HG Landfill,5S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,NC,-23.10616917,9.885414491,-21.4210438,8.810277065,-22.091762,8.815421018,-23.70991295,10.7902611,3105600,1.180420094,0.027282296,3022.018704,498.602609
14-4895,R. Weir,Frozen,2014,1,7,07/01/2014,James Alton,QCC,Trapline TR0613T009,8,680279,5922839,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Good,,0.75,570,185,84,na,133,reprod organs too small to collect,,HG Landfill,30 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,NC,-25.65051797,8.832232376,-21.80247842,7.180702925,-22.01041341,9.462163838,-21.59876992,11.06220953,403600,0.302435984,0.004024837,12879.08108,499.8624354
14-4896,R. Weir,Frozen,2014,1,6,06/01/2014,Berry Wijdeven,Tlell,"Halibut Bight, Haida Gwaii",9,304815,5918736,<100 m,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Good,,0.74,595,200,82,na,134,guts empty,,HG Landfill,"roadkill 
Halibut bite",,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-22.26426023,9.603577023,-21.69305884,7.535002565,-22.66806289,8.816409922,-23.44234469,9.866625326,1943400,0.387217461,0.037994287,482.7523873,293.3483957
14-4897,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T009,8,681648,5926176,<1 km,M-MACA,M,Juvenile,Adult,2,A,,BR,Good,,1.13,638,218,89,na,150,,,HG Landfill,"35 S mainline
RW: assume this is supposed to be 35N on mainline",,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-26.2689633,9.186259791,-20.71441826,5.561339148,-22.60435616,9.901236945,-20.50791468,10.9089295,1883700,0.293146258,0.024036197,16250.42868,499.9573624
14-4898,R. Weir,Frozen,2013,12,30,30/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,M,Adult,Adult,2,B,2-3,,Good,,1.2,640,185,95,na,150,,,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.47174779,8.630496084,-21.21243076,7.951585428,-23.06402472,8.073743473,-23.24534387,8.131099869,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4899,R. Weir,Frozen,2013,12,28,28/12/2013,James Alton,QCC,Trapline TR0613T005,8,690363,5906991,<100 m,M-MACA,F,Juvenile,Juvenile,0,A,,,Fair,,0.81,585,180,83,na,125,repro tract too small to collect,,HG Landfill,5 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,NC,-20.46282992,11.23526762,-22.22584017,7.533981529,-20.96562303,9.766746084,-22.13194625,9.543253916,3105600,1.180420094,0.027282296,3022.018704,498.602609
14-4900,R. Weir,Frozen,2013,12,20,20/12/2013,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,,Good,,0.79,575,178,80,na,131,repro tract too small to collect,,HG Landfill,22S mailine,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,NC,-25.37020835,8.693785901,-20.91075994,7.283827604,-20.43832733,9.994193864,-20.34031697,10.98111945,2914800,0.28441044,0.087164073,10619.16822,499.6571221
14-4901,R. Weir,Frozen,2013,12,22,22/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920216,<1 km,M-MACA,M,Juvenile,Adult,1,B,0-1,BR,Good,,1.09,650,218,89,na,139,big liver,,HG Landfill,"Dec 22 2013

26S mainline",,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-22.01335372,10.4995235,-22.48558386,8.763309389,-22.85526266,8.394148172,-22.88368567,8.581050914,1300,0.27217249,0.028833415,10728.72453,499.8511654
14-4902,R. Weir,Frozen,2013,12,22,22/12/2013,James Alton,QCC,Trapline TR0613T009,8,681152,5924244,<1 km,M-MACA,M,Adult,Adult,1,A,,,Excellent,,1.51,650,215,93,na,158,big belly!,"MT photos 970, 971, 972",HG Landfill,32S mainline,"P1000970, P1000971, P1000972",MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.79616206,7.971886423,-22.08676481,7.34202668,-22.35835017,9.385029373,-21.44391356,11.24812337,557000,0.308619006,0.010703649,14497.3826,499.9052169
14-4903,R. Weir,Frozen,2013,12,24,24/12/2013,James Alton,QCC,Trapline TR0613T009,8,681152,5924244,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Excellent,,1.25,610,180,89,na,153,,,HG Landfill,32S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-27.29709192,6.380740862,-21.27276492,7.981195485,-22.95327302,7.308332245,-24.07353137,7.762238903,557000,0.308619006,0.010703649,14497.3826,499.9052169
14-4904,R. Weir,Frozen,2013,12,28,28/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920216,<1 km,M-MACA,M,Adult,Adult,1,A,,,Obese,,1.45,650,184,89,na,162,pretty freakin fat!,,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.48027434,8.056932115,-20.61829264,7.62791688,-21.42235128,9.893325718,-23.3090506,8.016387076,1300,0.27217249,0.028833415,10728.72453,499.8511654
14-4905,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T009,8,680279,5922839,<1 km,M-MACA,F,Adult,Juvenile,0,A,,,Excellent,,0.85,570,185,81,na,133,,,HG Landfill,30 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.88633159,8.996390339,-20.56920722,6.393483838,-21.22241016,8.653240862,-21.5360433,9.204060052,403600,0.302435984,0.004024837,12879.08108,499.8624354
14-4906,R. Weir,Frozen,2013,12,8,08/12/2013,James Alton,QCC,Trapline TR0613T005,8,688610,5911784,<1 km,M-MACA,M,Adult,Adult,5,B,5-6,BR,Good,,1.11,633,195,90,na,154,,,HG Landfill,11 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-21.01560831,12.5089752,-20.76554891,8.115972293,-21.1234197,9.995182768,-22.81213811,8.981556789,511500,0.794468949,0.05294713,8124.835791,499.6851961
14-4907,R. Weir,Frozen,2013,12,9,09/12/2013,James Alton,QCC,Trapline TR0613T005,8,690765,5905106,<1 km,M-MACA,M,Adult,Adult,5,A,,BR,Good,,1.18,635,205,91,na,150,,,HG Landfill,3 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-21.9800302,10.29877611,-20.84326749,7.47374038,-22.09862273,8.002542428,-23.37373744,8.098466057,3117600,0.943719837,0.100443065,1163.924009,487.9400329
14-4908,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T009,8,681648,5926176,<1 km,M-MACA,M,Adult,Adult,5,B,5-6,BR,Good,"no tail, nose-sacrum 425 mm",1.05,,,90,na,140,4 internal adhesions in abdominal wall - 2 per side,"missing lower right canine
MT photos 973, 974",HG Landfill,"35S mainline
RW assumed 35N","P1000973, P1000974",MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.07970637,8.334813969,-19.60386062,7.082683427,-21.88496016,9.149670366,-22.97973581,9.380084856,1883700,0.293146258,0.024036197,16250.42868,499.9573624
14-4909,R. Weir,Frozen,2013,12,17,17/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920216,<1 km,M-MACA,M,Adult,Adult,1,A,,BR,Good,,1.24,635,208,90,na,150,very large liver - healthy looking,,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.1698759,9.069569191,-20.77372981,8.943011801,-20.74705994,11.05726501,-22.40931555,8.993423629,1300,0.27217249,0.028833415,10728.72453,499.8511654
14-4910,R. Weir,Frozen,2013,12,22,22/12/2013,James Alton,QCC,Trapline TR0613T005,8,690453,5906058,<1 km,M-MACA,M,Adult,Adult,2,A,,BR,Good,,1.19,615,188,86,na,150,,,HG Landfill,4 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.23946325,8.298224543,-20.48535296,8.326305798,-21.41745077,9.348439948,-21.63797406,10.79520561,610000,1.092412819,0.033753057,2134.532594,497.1072301
14-4911,R. Weir,Frozen,2013,12,7,07/12/2013,James Alton,QCC,Trapline TR0613T005,8,682140,5916227,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,,Excellent,,0.77,568,185,79,na,130,"fattest female so far
deer hair in rectum
Juvenile - repro organs too small to collect",,HG Landfill,20 S Mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,NC,-23.18261725,9.086380548,-20.09778266,7.829061057,-18.9103459,11.90969974,-19.08382423,11.90969974,2951400,0.555989696,0.057621471,10807.818,499.5949912
14-4912,R. Weir,Frozen,2013,12,9,09/12/2013,James Alton,QCC,Trapline TR0613T005,8,684447,5914930,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Excellent,,1.17,618,194,90,na,148,Fat,"MT photos 975, 976",HG Landfill,17 S mainline,"P1000975, P1000976",MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-22.75725231,8.784765013,-21.71453371,6.57012314,-21.19692747,8.340747389,-22.96111385,6.955293734,1632800,0.734229197,0.111461389,12226.00329,406.4458321
14-4913,R. Weir,Frozen,2014,1,15,15/01/2014,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,F,Adult,Adult,3,A,,BR,Good,,0.84,595,191,82,na,130,,,HG Landfill,22 S Mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-21.93102502,7.4408453,-21.17254885,7.435962032,-21.50075957,6.651700392,-22.72490889,6.019791123,2914800,0.28441044,0.087164073,10619.16822,499.6571221
14-4914,R. Weir,Frozen,2013,12,22,22/12/2013,James Alton,QCC,Trapline TR0613T009,8,679254,5921722,<1 km,M-MACA,M,Adult,Juvenile,0,A,,BR,Excellent,,1.21,635,201,86,na,160,,,HG Landfill,28 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.36756243,7.625770235,-20.98336546,6.445556696,-21.25867399,9.527431462,-22.13880697,9.055724543,2832700,0.228336236,0.033589326,11364.061,499.6786768
14-4915,R. Weir,Frozen,2013,12,22,22/12/2013,James Alton,QCC,Trapline TR0613T005,8,690057,5908870,<1 km,M-MACA,M,Juvenile,Adult,1,A,,BR,Excellent,,1.12,620,208,91,na,146,,,HG Landfill,7 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.8324259,7.195597258,-21.84645078,7.405330939,-23.50311111,7.441834204,-24.02942671,7.323165796,3141300,1.076391214,0.071231285,4887.037966,499.1461023
14-4916,R. Weir,Frozen,2013,12,24,24/12/2013,James Alton,QCC,Trapline TR0613T005,8,684447,5914930,<1 km,M-MACA,F,Adult,Juvenile,0,A,,,Excellent,,0.8,555,175,80,na,128,abdominal adhesion,,HG Landfill,17 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-19.81400137,12.26372715,-17.97483821,11.96017445,-19.73461298,11.17494452,-20.88231423,10.61819191,1632800,0.734229197,0.111461389,12226.00329,406.4458321
14-4917,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T005,8,687623,5913074,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Good,,0.86,580,190,83,na,124,pale liver,,HG Landfill,13 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.58838011,7.375577676,-22.62772706,7.355300154,-22.65336133,7.131318538,-23.59132042,7.134285248,432200,0.552271932,0.059522139,9694.681459,499.6506116
14-4918,R. Weir,Frozen,2014,2,15,15/02/2014,James Alton,QCC,Trapline TR0613T005,8,689334,5911211,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Fair,,0.74,560,175,76,na,135,"pale liver
black small intestine",,HG Landfill,10 S Mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-22.79841666,7.055172977,-21.42002118,7.747378143,-21.90064181,8.407003916,-22.68668485,8.333825065,3140700,0.867960697,0.05664824,7334.591248,499.3098553
14-4919,R. Weir,Frozen,2014,1,12,12/01/2014,James Alton,QCC,Trapline TR0613T009,8,679254,5921722,<1 km,M-MACA,M,Adult,Adult,9,A,8-9,BR,Excellent,,1.54,650,190,91,na,168,,,HG Landfill,28 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-21.98591082,7.432934073,-22.52444315,7.505392509,-21.85457695,9.615443864,-22.93661126,9.419640992,2832700,0.228336236,0.033589326,11364.061,499.6786768
14-4920,R. Weir,Frozen,2014,1,18,18/01/2014,James Alton,QCC,Trapline TR0613T009,8,681152,5924244,<1 km,M-MACA,F,Adult,Juvenile,0,A,,,Good,,0.76,575,178,80,na,124,,,HG Landfill,32 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-22.77489417,8.575117493,-21.83622465,7.15926116,-20.54711882,9.102203003,-21.22044995,9.163515013,557000,0.308619006,0.010703649,14497.3826,499.9052169
14-4921,R. Weir,Frozen,2014,1,18,18/01/2014,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,F,Adult,Adult,1,A,,BR,Good,,0.75,600,190,80,na,126,,,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.15419424,7.051217363,-20.87394588,7.854586968,-20.5980842,6.322395561,-22.27210106,6.35107376,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4922,R. Weir,Frozen,2014,1,15,15/01/2014,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,M,Juvenile,Adult,1,A,,BR,Excellent,,1.13,632,206,88,na,147,,,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.55505659,7.757294386,-21.25844834,8.478440226,-23.62072353,8.657196475,-24.2764128,8.14,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4923,R. Weir,Frozen,2014,1,18,18/01/2014,James Alton,QCC,Trapline TR0613T009,8,681152,5924244,<1 km,M-MACA,F,Adult,Adult,1,A,,BR,Good,,0.86,583,183,83,na,126,,,HG Landfill,32 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.38157827,6.824758486,-20.84326749,5.119230375,-23.8882918,6.94243799,-24.09019313,6.79410248,557000,0.308619006,0.010703649,14497.3826,499.9052169
